prob_num,title,href,paywall,acceptance_rate,difficulty,uplikes,downlikes,verbosity,category
1,Two Sum,/problems/two-sum,free,48.4%,Easy
2,Add Two Numbers,/problems/add-two-numbers,free,38.4%,Medium
3,Longest Substring Without Repeating Characters,/problems/longest-substring-without-repeating-characters,free,32.9%,Medium
4,Median of Two Sorted Arrays,/problems/median-of-two-sorted-arrays,free,33.8%,Hard
5,Longest Palindromic Substring,/problems/longest-palindromic-substring,free,31.7%,Medium
6,Zigzag Conversion,/problems/zigzag-conversion,free,41.2%,Medium
7,Reverse Integer,/problems/reverse-integer,free,26.6%,Medium
8,String to Integer (atoi),/problems/string-to-integer-atoi,free,16.5%,Medium
9,Palindrome Number,/problems/palindrome-number,free,52.2%,Easy
10,Regular Expression Matching,/problems/regular-expression-matching,free,28.2%,Hard
11,Container With Most Water,/problems/container-with-most-water,free,53.4%,Medium
12,Integer to Roman,/problems/integer-to-roman,free,59.2%,Medium
13,Roman to Integer,/problems/roman-to-integer,free,57.9%,Easy
14,Longest Common Prefix,/problems/longest-common-prefix,free,39.1%,Easy
15,3Sum,/problems/3sum,free,30.8%,Medium
16,3Sum Closest,/problems/3sum-closest,free,47.1%,Medium
17,Letter Combinations of a Phone Number,/problems/letter-combinations-of-a-phone-number,free,53.3%,Medium
18,4Sum,/problems/4sum,free,37.1%,Medium
19,Remove Nth Node From End of List,/problems/remove-nth-node-from-end-of-list,free,38.1%,Medium
20,Valid Parentheses,/problems/valid-parentheses,free,40.9%,Easy
21,Merge Two Sorted Lists,/problems/merge-two-sorted-lists,free,60.0%,Easy
22,Generate Parentheses,/problems/generate-parentheses,free,69.7%,Medium
23,Merge k Sorted Lists,/problems/merge-k-sorted-lists,free,46.7%,Hard
24,Swap Nodes in Pairs,/problems/swap-nodes-in-pairs,free,58.4%,Medium
25,Reverse Nodes in k-Group,/problems/reverse-nodes-in-k-group,free,50.6%,Hard
26,Remove Duplicates from Sorted Array,/problems/remove-duplicates-from-sorted-array,free,48.5%,Easy
27,Remove Element,/problems/remove-element,free,51.0%,Easy
28,Implement strStr(),/problems/implement-strstr,free,35.6%,Easy
29,Divide Two Integers,/problems/divide-two-integers,free,17.0%,Medium
30,Substring with Concatenation of All Words,/problems/substring-with-concatenation-of-all-words,free,27.9%,Hard
31,Next Permutation,/problems/next-permutation,free,35.5%,Medium
32,Longest Valid Parentheses,/problems/longest-valid-parentheses,free,31.2%,Hard
33,Search in Rotated Sorted Array,/problems/search-in-rotated-sorted-array,free,37.6%,Medium
34,Find First and Last Position of Element in Sorted Array,/problems/find-first-and-last-position-of-element-in-sorted-array,free,39.8%,Medium
35,Search Insert Position,/problems/search-insert-position,free,42.4%,Easy
36,Valid Sudoku,/problems/valid-sudoku,free,54.7%,Medium
37,Sudoku Solver,/problems/sudoku-solver,free,53.4%,Hard
38,Count and Say,/problems/count-and-say,free,48.4%,Medium
39,Combination Sum,/problems/combination-sum,free,65.0%,Medium
40,Combination Sum II,/problems/combination-sum-ii,free,52.2%,Medium
41,First Missing Positive,/problems/first-missing-positive,free,35.8%,Hard
42,Trapping Rain Water,/problems/trapping-rain-water,free,56.1%,Hard
43,Multiply Strings,/problems/multiply-strings,free,37.5%,Medium
44,Wildcard Matching,/problems/wildcard-matching,free,26.5%,Hard
45,Jump Game II,/problems/jump-game-ii,free,36.8%,Medium
46,Permutations,/problems/permutations,free,71.8%,Medium
47,Permutations II,/problems/permutations-ii,free,53.7%,Medium
48,Rotate Image,/problems/rotate-image,free,66.0%,Medium
49,Group Anagrams,/problems/group-anagrams,free,63.7%,Medium
50,Pow(x, n),/problems/powx-n,free,32.2%,Medium
51,N-Queens,/problems/n-queens,free,56.8%,Hard
52,N-Queens II,/problems/n-queens-ii,free,65.8%,Hard
53,Maximum Subarray,/problems/maximum-subarray,free,49.5%,Easy
54,Spiral Matrix,/problems/spiral-matrix,free,40.9%,Medium
55,Jump Game,/problems/jump-game,free,37.6%,Medium
56,Merge Intervals,/problems/merge-intervals,free,44.6%,Medium
57,Insert Interval,/problems/insert-interval,free,37.2%,Medium
58,Length of Last Word,/problems/length-of-last-word,free,37.0%,Easy
59,Spiral Matrix II,/problems/spiral-matrix-ii,free,62.1%,Medium
60,Permutation Sequence,/problems/permutation-sequence,free,41.8%,Hard
61,Rotate List,/problems/rotate-list,free,34.7%,Medium
62,Unique Paths,/problems/unique-paths,free,59.7%,Medium
63,Unique Paths II,/problems/unique-paths-ii,free,37.4%,Medium
64,Minimum Path Sum,/problems/minimum-path-sum,free,59.1%,Medium
65,Valid Number,/problems/valid-number,free,18.0%,Hard
66,Plus One,/problems/plus-one,free,42.6%,Easy
67,Add Binary,/problems/add-binary,free,50.2%,Easy
68,Text Justification,/problems/text-justification,free,34.7%,Hard
69,Sqrt(x),/problems/sqrtx,free,36.3%,Easy
70,Climbing Stairs,/problems/climbing-stairs,free,50.9%,Easy
71,Simplify Path,/problems/simplify-path,free,38.6%,Medium
72,Edit Distance,/problems/edit-distance,free,50.4%,Hard
73,Set Matrix Zeroes,/problems/set-matrix-zeroes,free,48.0%,Medium
74,Search a 2D Matrix,/problems/search-a-2d-matrix,free,42.9%,Medium
75,Sort Colors,/problems/sort-colors,free,54.3%,Medium
76,Minimum Window Substring,/problems/minimum-window-substring,free,38.7%,Hard
77,Combinations,/problems/combinations,free,63.4%,Medium
78,Subsets,/problems/subsets,free,70.9%,Medium
79,Word Search,/problems/word-search,free,39.5%,Medium
80,Remove Duplicates from Sorted Array II,/problems/remove-duplicates-from-sorted-array-ii,free,50.3%,Medium
81,Search in Rotated Sorted Array II,/problems/search-in-rotated-sorted-array-ii,free,34.5%,Medium
82,Remove Duplicates from Sorted List II,/problems/remove-duplicates-from-sorted-list-ii,free,44.0%,Medium
83,Remove Duplicates from Sorted List,/problems/remove-duplicates-from-sorted-list,free,48.8%,Easy
84,Largest Rectangle in Histogram,/problems/largest-rectangle-in-histogram,free,40.6%,Hard
85,Maximal Rectangle,/problems/maximal-rectangle,free,42.5%,Hard
86,Partition List,/problems/partition-list,free,47.6%,Medium
87,Scramble String,/problems/scramble-string,free,35.5%,Hard
88,Merge Sorted Array,/problems/merge-sorted-array,free,43.5%,Easy
89,Gray Code,/problems/gray-code,free,55.0%,Medium
90,Subsets II,/problems/subsets-ii,free,52.9%,Medium
91,Decode Ways,/problems/decode-ways,free,30.0%,Medium
92,Reverse Linked List II,/problems/reverse-linked-list-ii,free,43.2%,Medium
93,Restore IP Addresses,/problems/restore-ip-addresses,free,41.5%,Medium
94,Binary Tree Inorder Traversal,/problems/binary-tree-inorder-traversal,free,70.4%,Easy
