prob_num,title,href,paywall,acceptance_rate,difficulty,uplikes,downlikes,verbosity,category
1,Two Sum,/problems/two-sum,free,48.4%,Easy,30398,956,267,ALG
2,Add Two Numbers,/problems/add-two-numbers,free,38.4%,Medium,17388,3622,317,ALG
3,Longest Substring Without Repeating Characters,/problems/longest-substring-without-repeating-characters,free,32.9%,Medium,22254,996,88,ALG
4,Median of Two Sorted Arrays,/problems/median-of-two-sorted-arrays,free,33.8%,Hard,15543,1931,168,ALG
5,Longest Palindromic Substring,/problems/longest-palindromic-substring,free,31.7%,Medium,16637,974,64,ALG
6,Zigzag Conversion,/problems/zigzag-conversion,free,41.2%,Medium,3480,8048,303,ALG
7,Reverse Integer,/problems/reverse-integer,free,26.6%,Medium,6803,9470,265,ALG
8,String to Integer (atoi),/problems/string-to-integer-atoi,free,16.5%,Medium,1490,4261,181,ALG
9,Palindrome Number,/problems/palindrome-number,free,52.2%,Easy,5401,2066,129,ALG
10,Regular Expression Matching,/problems/regular-expression-matching,free,28.2%,Hard,7761,1133,178,ALG
11,Container With Most Water,/problems/container-with-most-water,free,53.4%,Medium,14987,893,370,ALG
12,Integer to Roman,/problems/integer-to-roman,free,59.2%,Medium,2923,3894,658,ALG
13,Roman to Integer,/problems/roman-to-integer,free,57.9%,Easy,3498,250,658,ALG
14,Longest Common Prefix,/problems/longest-common-prefix,free,39.1%,Easy,7349,2881,142,ALG
15,3Sum,/problems/3sum,free,30.8%,Medium,16687,1603,221,ALG
16,3Sum Closest,/problems/3sum-closest,free,47.1%,Medium,5491,236,230,ALG
17,Letter Combinations of a Phone Number,/problems/letter-combinations-of-a-phone-number,free,53.3%,Medium,9350,650,280,ALG
18,4Sum,/problems/4sum,free,37.1%,Medium,5823,667,167,ALG
19,Remove Nth Node From End of List,/problems/remove-nth-node-from-end-of-list,free,38.1%,Medium,9261,437,139,ALG
20,Valid Parentheses,/problems/valid-parentheses,free,40.9%,Easy,12185,529,148,ALG
21,Merge Two Sorted Lists,/problems/merge-two-sorted-lists,free,60.0%,Easy,11447,1033,229,ALG
22,Generate Parentheses,/problems/generate-parentheses,free,69.7%,Medium,12116,474,103,ALG
23,Merge k Sorted Lists,/problems/merge-k-sorted-lists,free,46.7%,Hard,11547,456,163,ALG
24,Swap Nodes in Pairs,/problems/swap-nodes-in-pairs,free,58.4%,Medium,6585,283,193,ALG
25,Reverse Nodes in k-Group,/problems/reverse-nodes-in-k-group,free,50.6%,Hard,6611,477,442,ALG
26,Remove Duplicates from Sorted Array,/problems/remove-duplicates-from-sorted-array,free,48.5%,Easy,6161,9650,876,ALG
27,Remove Element,/problems/remove-element,free,51.0%,Easy,3331,5014,823,ALG
28,Implement strStr(),/problems/implement-strstr,free,35.6%,Easy,3733,3513,381,ALG
29,Divide Two Integers,/problems/divide-two-integers,free,17.0%,Medium,2605,9158,634,ALG
30,Substring with Concatenation of All Words,/problems/substring-with-concatenation-of-all-words,free,27.9%,Hard,1832,1804,276,ALG
31,Next Permutation,/problems/next-permutation,free,35.5%,Medium,9214,3106,700,ALG
32,Longest Valid Parentheses,/problems/longest-valid-parentheses,free,31.2%,Hard,7347,249,132,ALG
33,Search in Rotated Sorted Array,/problems/search-in-rotated-sorted-array,free,37.6%,Medium,13170,862,608,ALG
34,Find First and Last Position of Element in Sorted Array,/problems/find-first-and-last-position-of-element-in-sorted-array,free,39.8%,Medium,9783,277,240,ALG
35,Search Insert Position,/problems/search-insert-position,free,42.4%,Easy,7143,392,236,ALG
36,Valid Sudoku,/problems/valid-sudoku,free,54.7%,Medium,4655,685,125,ALG
37,Sudoku Solver,/problems/sudoku-solver,free,53.4%,Hard,4792,146,166,ALG
38,Count and Say,/problems/count-and-say,free,48.4%,Medium,1300,3351,571,ALG
39,Combination Sum,/problems/combination-sum,free,65.0%,Medium,10169,219,516,ALG
40,Combination Sum II,/problems/combination-sum-ii,free,52.2%,Medium,4870,131,298,ALG
41,First Missing Positive,/problems/first-missing-positive,free,35.8%,Hard,8908,1278,168,ALG
42,Trapping Rain Water,/problems/trapping-rain-water,free,56.1%,Hard,17334,244,143,ALG
43,Multiply Strings,/problems/multiply-strings,free,37.5%,Medium,4176,1639,233,ALG
44,Wildcard Matching,/problems/wildcard-matching,free,26.5%,Hard,4418,197,180,ALG
45,Jump Game II,/problems/jump-game-ii,free,36.8%,Medium,7526,280,310,ALG
46,Permutations,/problems/permutations,free,71.8%,Medium,9618,178,119,ALG
47,Permutations II,/problems/permutations-ii,free,53.7%,Medium,4664,90,121,ALG
48,Rotate Image,/problems/rotate-image,free,66.0%,Medium,8476,466,253,ALG
49,Group Anagrams,/problems/group-anagrams,free,63.7%,Medium,8625,299,250,ALG
50,Pow(x, n),/problems/powx-n,free,32.2%,4166,5181,73,ALG
51,N-Queens,/problems/n-queens,free,56.8%,Hard,5408,145,388,ALG
52,N-Queens II,/problems/n-queens-ii,free,65.8%,Hard,1612,209,203,ALG
53,Maximum Subarray,/problems/maximum-subarray,free,49.5%,Easy,19258,925,322,ALG
54,Spiral Matrix,/problems/spiral-matrix,free,40.9%,Medium,6573,810,73,ALG
55,Jump Game,/problems/jump-game,free,37.6%,Medium,10283,602,241,ALG
56,Merge Intervals,/problems/merge-intervals,free,44.6%,Medium,12680,504,193,ALG
57,Insert Interval,/problems/insert-interval,free,37.2%,Medium,4506,326,555,ALG
58,Length of Last Word,/problems/length-of-last-word,free,37.0%,Easy,780,59,197,ALG
59,Spiral Matrix II,/problems/spiral-matrix-ii,free,62.1%,Medium,2638,163,103,ALG
60,Permutation Sequence,/problems/permutation-sequence,free,41.8%,Hard,3481,390,218,ALG
61,Rotate List,/problems/rotate-list,free,34.7%,Medium,4841,1262,74,ALG
62,Unique Paths,/problems/unique-paths,free,59.7%,Medium,8265,285,472,ALG
63,Unique Paths II,/problems/unique-paths-ii,free,37.4%,Medium,4406,369,427,ALG
64,Minimum Path Sum,/problems/minimum-path-sum,free,59.1%,Medium,6941,95,216,ALG
65,Valid Number,/problems/valid-number,free,18.0%,Hard,514,927,504,ALG
66,Plus One,/problems/plus-one,free,42.6%,Easy,3840,4028,341,ALG
67,Add Binary,/problems/add-binary,free,50.2%,Easy,4728,523,70,ALG
68,Text Justification,/problems/text-justification,free,34.7%,Hard,1673,2778,684,ALG
69,Sqrt(x),/problems/sqrtx,free,36.3%,Easy,3506,3071,304,ALG
70,Climbing Stairs,/problems/climbing-stairs,free,50.9%,Easy,10937,336,160,ALG
71,Simplify Path,/problems/simplify-path,free,38.6%,Medium,2208,451,572,ALG
72,Edit Distance,/problems/edit-distance,free,50.4%,Hard,7928,90,170,ALG
73,Set Matrix Zeroes,/problems/set-matrix-zeroes,free,48.0%,Medium,6328,473,129,ALG
74,Search a 2D Matrix,/problems/search-a-2d-matrix,free,42.9%,Medium,6374,248,138,ALG
75,Sort Colors,/problems/sort-colors,free,54.3%,Medium,9132,397,433,ALG
76,Minimum Window Substring,/problems/minimum-window-substring,free,38.7%,Hard,9731,526,371,ALG
77,Combinations,/problems/combinations,free,63.4%,Medium,3892,130,137,ALG
78,Subsets,/problems/subsets,free,70.9%,Medium,9454,151,178,ALG
79,Word Search,/problems/word-search,free,39.5%,Medium,8771,336,377,ALG
80,Remove Duplicates from Sorted Array II,/problems/remove-duplicates-from-sorted-array-ii,free,50.3%,Medium,3480,910,881,ALG
