prob_num,title,href,paywall,acceptance_rate,difficulty,uplikes,downlikes,verbosity,category
1,Two Sum,/problems/two-sum,FREE,48.4%,EASY,30398,956,267,ALG
2,Add Two Numbers,/problems/add-two-numbers,FREE,38.4%,MED,17388,3622,317,ALG
3,Longest Substring Without Repeating Characters,/problems/longest-substring-without-repeating-characters,FREE,32.9%,MED,22254,996,88,ALG
4,Median of Two Sorted Arrays,/problems/median-of-two-sorted-arrays,FREE,33.8%,HARD,15543,1931,168,ALG
5,Longest Palindromic Substring,/problems/longest-palindromic-substring,FREE,31.7%,MED,16637,974,64,ALG
6,Zigzag Conversion,/problems/zigzag-conversion,FREE,41.2%,MED,3480,8048,303,ALG
7,Reverse Integer,/problems/reverse-integer,FREE,26.6%,MED,6803,9470,265,ALG
8,String to Integer (atoi),/problems/string-to-integer-atoi,FREE,16.5%,MED,1490,4261,181,ALG
9,Palindrome Number,/problems/palindrome-number,FREE,52.2%,EASY,5401,2066,129,ALG
10,Regular Expression Matching,/problems/regular-expression-matching,FREE,28.2%,HARD,7761,1133,178,ALG
11,Container With Most Water,/problems/container-with-most-water,FREE,53.4%,MED,14987,893,370,ALG
12,Integer to Roman,/problems/integer-to-roman,FREE,59.2%,MED,2923,3894,658,ALG
13,Roman to Integer,/problems/roman-to-integer,FREE,57.9%,EASY,3498,250,658,ALG
14,Longest Common Prefix,/problems/longest-common-prefix,FREE,39.1%,EASY,7349,2881,142,ALG
15,3Sum,/problems/3sum,FREE,30.8%,MED,16687,1603,221,ALG
16,3Sum Closest,/problems/3sum-closest,FREE,47.1%,MED,5491,236,230,ALG
17,Letter Combinations of a Phone Number,/problems/letter-combinations-of-a-phone-number,FREE,53.3%,MED,9350,650,280,ALG
18,4Sum,/problems/4sum,FREE,37.1%,MED,5823,667,167,ALG
19,Remove Nth Node From End of List,/problems/remove-nth-node-from-end-of-list,FREE,38.1%,MED,9261,437,139,ALG
20,Valid Parentheses,/problems/valid-parentheses,FREE,40.9%,EASY,12185,529,148,ALG
21,Merge Two Sorted Lists,/problems/merge-two-sorted-lists,FREE,60.0%,EASY,11447,1033,229,ALG
22,Generate Parentheses,/problems/generate-parentheses,FREE,69.7%,MED,12116,474,103,ALG
23,Merge k Sorted Lists,/problems/merge-k-sorted-lists,FREE,46.7%,HARD,11547,456,163,ALG
24,Swap Nodes in Pairs,/problems/swap-nodes-in-pairs,FREE,58.4%,MED,6585,283,193,ALG
25,Reverse Nodes in k-Group,/problems/reverse-nodes-in-k-group,FREE,50.6%,HARD,6611,477,442,ALG
26,Remove Duplicates from Sorted Array,/problems/remove-duplicates-from-sorted-array,FREE,48.5%,EASY,6161,9650,876,ALG
27,Remove Element,/problems/remove-element,FREE,51.0%,EASY,3331,5014,823,ALG
28,Implement strStr(),/problems/implement-strstr,FREE,35.6%,EASY,3733,3513,381,ALG
29,Divide Two Integers,/problems/divide-two-integers,FREE,17.0%,MED,2605,9158,634,ALG
30,Substring with Concatenation of All Words,/problems/substring-with-concatenation-of-all-words,FREE,27.9%,HARD,1832,1804,276,ALG
31,Next Permutation,/problems/next-permutation,FREE,35.5%,MED,9214,3106,700,ALG
32,Longest Valid Parentheses,/problems/longest-valid-parentheses,FREE,31.2%,HARD,7347,249,132,ALG
33,Search in Rotated Sorted Array,/problems/search-in-rotated-sorted-array,FREE,37.6%,MED,13170,862,608,ALG
34,Find First and Last Position of Element in Sorted Array,/problems/find-first-and-last-position-of-element-in-sorted-array,FREE,39.8%,MED,9783,277,240,ALG
35,Search Insert Position,/problems/search-insert-position,FREE,42.4%,EASY,7143,392,236,ALG
36,Valid Sudoku,/problems/valid-sudoku,FREE,54.7%,MED,4655,685,125,ALG
37,Sudoku Solver,/problems/sudoku-solver,FREE,53.4%,HARD,4792,146,166,ALG
38,Count and Say,/problems/count-and-say,FREE,48.4%,MED,1300,3351,571,ALG
39,Combination Sum,/problems/combination-sum,FREE,65.0%,MED,10169,219,516,ALG
40,Combination Sum II,/problems/combination-sum-ii,FREE,52.2%,MED,4870,131,298,ALG
41,First Missing Positive,/problems/first-missing-positive,FREE,35.8%,HARD,8908,1278,168,ALG
42,Trapping Rain Water,/problems/trapping-rain-water,FREE,56.1%,HARD,17334,244,143,ALG
